"ID";"指示器";"包";"数量";"名称";"供应商和参考";
1;"J2,J1";"PinHeader_1x08_P2.54mm_Vertical";2;"Conn_01x08_Male";;;
2;"K1";"Button_2Pin_3x4x2";1;"Mini-Button-3x4x2";;;
3;"C5,C13,C11,C7,C6";"C_0402_1005Metric";5;"104";;;
4;"U1";"QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias";1;"Hi3861LV100";;;
5;"E1";"ANT-2.4GHZ-9.5X2.0MM";1;"ANTENNA-RainSun-2.4G";;;
6;"R8,R7,R4";"R_0402_1005Metric";3;"1K";;;
7;"C20,C19";"C_0402_1005Metric";2;"1uF";;;
8;"C18";"C_0402_1005Metric";1;"1nF";;;
9;"C17";"C_0402_1005Metric";1;"100nF";;;
10;"D2";"LED_0402_1005Metric";1;"LED";;;
11;"PWR1";"LED_0402_1005Metric";1;"LED/RED";;;
12;"L2";"L_0402_1005Metric";1;"L";;;
13;"C16,C15,C14,C10";"C_0402_1005Metric";4;"C";;;
14;"U3";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2102N-A01-GQFN24";;;
15;"U2";"SOT-23-5";1;"HX9193-33GB";;;
16;"R6,R5";"R_0402_1005Metric";2;"5.1K";;;
17;"L1";"L_0402_1005Metric";1;"2.2uH";;;
18;"J3";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"USB_C_Receptacle_USB2.0";;;
19;"C12,C9,C1";"C_0402_1005Metric";3;"106";;;
20;"Y1";"Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
21;"R3";"R_0402_1005Metric";1;"47K";;;
22;"C4";"C_0402_1005Metric";1;"4.7uF";;;
23;"C3,C2";"C_0402_1005Metric";2;"22P";;;
24;"R2";"R_0402_1005Metric";1;"22K";;;
25;"R1";"R_0402_1005Metric";1;"100K";;;
